,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Plus_Minus,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
103,1,5.0,9.0,0.556,2.0,6,6.0,0.333,1.0,1.0,1.0,0.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,13.0,11.8,18.0,0,1.032,1.09,0.155,11.4,1
104,1,2.0,8.0,0.25,1.0,1,7.0,0.143,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,0.0,5.0,7.0,5.0,-9.0,0,,,,,0
105,0,,,,,-6,,,,,,,,,,,,,,,,,0,1.055,1.116,0.151,11.6,0
106,1,,,,,7,,,,,,,,,,,,,,,,,0,1.065,1.091,0.129,10.3,0
107,1,4.0,11.0,0.364,3.0,7,7.0,0.429,2.0,2.0,1.0,0.0,7.0,7.0,2.0,2.0,1.0,1.0,2.0,13.0,11.3,4.0,0,1.093,1.123,0.127,12.3,1
108,1,5.0,7.0,0.714,4.0,16,6.0,0.667,0.0,0.0,,1.0,4.0,5.0,0.0,3.0,0.0,1.0,5.0,14.0,13.0,4.0,0,1.071,1.094,0.121,10.6,1
109,0,5.0,11.0,0.455,4.0,-13,8.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,2.0,4.0,1.0,0.0,2.0,15.0,14.8,-16.0,0,1.055,1.116,0.151,11.6,1
110,0,6.0,12.0,0.5,4.0,-2,9.0,0.444,0.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,1.0,1.0,16.0,11.4,8.0,0,1.059,1.095,0.129,10.5,1
111,1,3.0,8.0,0.375,1.0,10,4.0,0.25,0.0,0.0,,1.0,5.0,6.0,2.0,5.0,0.0,0.0,4.0,7.0,9.6,13.0,0,1.065,1.091,0.129,10.3,0
112,1,1.0,18.0,0.056,0.0,15,10.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,3.0,3.0,1.0,6.0,4.0,-3.6,11.0,0,1.101,1.137,0.129,12.1,0
113,1,8.0,12.0,0.667,4.0,7,7.0,0.571,4.0,5.0,0.8,0.0,7.0,7.0,1.0,2.0,2.0,0.0,4.0,24.0,23.0,8.0,0,1.141,1.177,0.125,12.0,1
114,1,8.0,15.0,0.533,4.0,39,9.0,0.444,1.0,2.0,0.5,2.0,7.0,9.0,1.0,1.0,2.0,0.0,3.0,21.0,18.7,44.0,0,1.083,1.106,0.118,11.6,1
115,0,4.0,11.0,0.364,2.0,-9,7.0,0.286,7.0,7.0,1.0,1.0,9.0,10.0,0.0,4.0,0.0,2.0,4.0,17.0,14.7,-4.0,0,1.042,1.087,0.144,11.6,1
116,1,4.0,7.0,0.571,2.0,12,4.0,0.5,3.0,4.0,0.75,0.0,6.0,6.0,3.0,2.0,2.0,3.0,0.0,13.0,13.6,-3.0,0,1.066,1.109,0.147,10.2,1
117,1,6.0,9.0,0.667,1.0,17,3.0,0.333,4.0,4.0,1.0,0.0,6.0,6.0,1.0,2.0,1.0,2.0,4.0,17.0,14.7,3.0,0,,,,,1
118,0,,,,,-8,,,,,,,,,,,,,,,,,0,1.071,1.094,0.121,10.6,0
119,0,2.0,7.0,0.286,1.0,-8,5.0,0.2,2.0,2.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,3.0,3.0,7.0,1.6,-11.0,0,1.066,1.092,0.132,12.0,0
120,0,6.0,13.0,0.462,1.0,-11,2.0,0.5,4.0,5.0,0.8,3.0,3.0,6.0,0.0,0.0,0.0,1.0,4.0,17.0,10.3,-14.0,0,1.082,1.129,0.149,12.0,1
121,0,1.0,8.0,0.125,1.0,-8,7.0,0.143,1.0,2.0,0.5,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,0.5,-8.0,0,1.114,1.154,0.149,11.1,0
122,1,4.0,9.0,0.444,2.0,27,6.0,0.333,3.0,3.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,13.0,11.3,16.0,0,1.082,1.129,0.149,12.0,1
123,0,7.0,15.0,0.467,5.0,-6,11.0,0.455,3.0,5.0,0.6,0.0,6.0,6.0,2.0,1.0,1.0,1.0,5.0,22.0,15.4,-20.0,0,1.063,1.12,0.139,9.7,1
124,0,5.0,9.0,0.556,2.0,-26,4.0,0.5,1.0,2.0,0.5,2.0,5.0,7.0,1.0,6.0,1.0,1.0,4.0,13.0,16.0,-24.0,0,1.083,1.106,0.118,11.6,1
125,1,4.0,8.0,0.5,3.0,2,5.0,0.6,2.0,3.0,0.667,0.0,5.0,5.0,3.0,2.0,0.0,0.0,3.0,13.0,13.0,13.0,0,1.039,1.11,0.155,11.3,1
126,1,3.0,13.0,0.231,1.0,25,8.0,0.125,1.0,2.0,0.5,3.0,6.0,9.0,3.0,0.0,1.0,1.0,4.0,8.0,3.8,23.0,0,1.101,1.137,0.129,12.1,0
127,0,10.0,20.0,0.5,5.0,-3,13.0,0.385,3.0,5.0,0.6,4.0,3.0,7.0,4.0,1.0,3.0,3.0,6.0,28.0,21.4,3.0,0,1.102,1.149,0.139,12.4,1
128,1,4.0,9.0,0.444,1.0,9,5.0,0.2,7.0,7.0,1.0,1.0,3.0,4.0,0.0,1.0,2.0,0.0,5.0,16.0,13.3,-6.0,0,1.042,1.086,0.139,11.9,1
129,0,6.0,13.0,0.462,4.0,-9,8.0,0.5,0.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,16.0,13.1,1.0,0,1.093,1.123,0.127,12.3,1
130,0,,,,,-13,,,,,,,,,,,,,,,,,0,1.042,1.087,0.144,11.6,0
131,1,,,,,17,,,,,,,,,,,,,,,,,0,1.052,1.096,0.128,10.6,0
132,1,,,,,22,,,,,,,,,,,,,,,,,0,1.063,1.096,0.133,11.8,0
133,1,,,,,2,,,,,,,,,,,,,,,,,0,1.039,1.11,0.155,11.3,0
134,0,,,,,-4,,,,,,,,,,,,,,,,,0,1.072,1.105,0.126,11.2,0
135,1,,,,,4,,,,,,,,,,,,,,,,,0,1.093,1.123,0.127,12.3,0
136,0,,,,,-42,,,,,,,,,,,,,,,,,0,1.061,1.087,0.121,10.3,0
137,0,,,,,-3,,,,,,,,,,,,,,,,,0,1.083,1.106,0.118,11.6,0
138,1,,,,,2,,,,,,,,,,,,,,,,,0,1.114,1.154,0.149,11.1,0
139,1,,,,,27,,,,,,,,,,,,,,,,,0,1.114,1.154,0.149,11.1,0
140,1,,,,,15,,,,,,,,,,,,,,,,,0,1.063,1.096,0.133,11.8,0
141,0,,,,,-4,,,,,,,,,,,,,,,,,0,1.027,1.078,0.134,10.1,0
142,0,,,,,-14,,,,,,,,,,,,,,,,,0,1.027,1.078,0.134,10.1,0
143,1,,,,,2,,,,,,,,,,,,,,,,,0,1.055,1.116,0.151,11.6,0
144,0,,,,,-1,,,,,,,,,,,,,,,,,0,1.059,1.095,0.129,10.5,0
145,0,,,,,-2,,,,,,,,,,,,,,,,,0,1.055,1.116,0.151,11.6,0
146,0,,,,,-10,,,,,,,,,,,,,,,,,0,1.052,1.096,0.128,10.6,0
147,0,,,,,-5,,,,,,,,,,,,,,,,,0,1.093,1.123,0.127,12.3,0
148,1,,,,,10,,,,,,,,,,,,,,,,,0,1.086,1.109,0.125,10.5,0
149,1,,,,,10,,,,,,,,,,,,,,,,,0,1.066,1.109,0.147,10.2,0
150,1,,,,,11,,,,,,,,,,,,,,,,,0,1.101,1.127,0.128,11.8,0
151,0,,,,,-12,,,,,,,,,,,,,,,,,0,1.019,1.053,0.124,13.0,0
152,1,,,,,7,,,,,,,,,,,,,,,,,0,1.082,1.129,0.149,12.0,0
153,0,,,,,-8,,,,,,,,,,,,,,,,,0,1.102,1.149,0.139,12.4,0
154,0,,,,,-7,,,,,,,,,,,,,,,,,0,1.032,1.09,0.155,11.4,0
155,0,,,,,-14,,,,,,,,,,,,,,,,,0,1.105,1.152,0.149,12.1,0
156,1,,,,,11,,,,,,,,,,,,,,,,,0,1.039,1.11,0.155,11.3,0
157,0,,,,,-17,,,,,,,,,,,,,,,,,0,1.063,1.12,0.139,9.7,0
158,1,,,,,5,,,,,,,,,,,,,,,,,0,1.105,1.152,0.149,12.1,0
159,1,,,,,11,,,,,,,,,,,,,,,,,0,1.101,1.127,0.128,11.8,0
160,0,,,,,-26,,,,,,,,,,,,,,,,,0,1.059,1.095,0.129,10.5,0
161,0,,,,,-20,,,,,,,,,,,,,,,,,0,1.027,1.078,0.134,10.1,0
162,0,,,,,-15,,,,,,,,,,,,,,,,,0,1.066,1.109,0.147,10.2,0
163,0,,,,,-10,,,,,,,,,,,,,,,,,0,1.066,1.092,0.132,12.0,0
164,0,,,,,-7,,,,,,,,,,,,,,,,,0,,,,,0
165,1,,,,,13,,,,,,,,,,,,,,,,,0,1.055,1.116,0.151,11.6,0
166,0,,,,,-11,,,,,,,,,,,,,,,,,0,1.086,1.109,0.125,10.5,0
167,1,,,,,1,,,,,,,,,,,,,,,,,0,1.066,1.092,0.132,12.0,0
168,0,,,,,-9,,,,,,,,,,,,,,,,,0,1.061,1.087,0.121,10.3,0
169,0,,,,,-10,,,,,,,,,,,,,,,,,0,1.071,1.094,0.121,10.6,0
170,1,,,,,2,,,,,,,,,,,,,,,,,0,1.072,1.105,0.126,11.2,0
171,1,,,,,2,,,,,,,,,,,,,,,,,0,1.042,1.086,0.139,11.9,0
172,0,,,,,-6,,,,,,,,,,,,,,,,,0,1.039,1.11,0.155,11.3,0
173,0,,,,,-20,,,,,,,,,,,,,,,,,0,1.033,1.077,0.145,10.8,0
174,0,,,,,-4,,,,,,,,,,,,,,,,,0,1.059,1.095,0.129,10.5,0
175,1,6.0,11.0,0.545,3.0,1,6.0,0.5,0.0,0.0,,2.0,7.0,9.0,0.0,0.0,0.0,2.0,4.0,15.0,9.6,-11.0,0,1.085,1.092,0.12,12.5,1
176,1,4.0,10.0,0.4,0.0,22,4.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,8.0,4.7,4.0,0,,,,,0
177,1,3.0,10.0,0.3,2.0,7,8.0,0.25,3.0,4.0,0.75,3.0,7.0,10.0,3.0,2.0,0.0,3.0,3.0,11.0,8.9,6.0,0,1.066,1.118,0.137,12.9,0
178,0,2.0,7.0,0.286,1.0,-22,4.0,0.25,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,3.0,7.0,3.4,-23.0,0,1.06,1.112,0.133,10.5,0
179,1,7.0,10.0,0.7,3.0,22,5.0,0.6,3.0,3.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,0.0,2.0,20.0,18.3,19.0,0,1.118,1.181,0.152,12.4,1
180,0,5.0,9.0,0.556,3.0,-28,6.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,3.0,15.0,11.1,-20.0,0,1.007,1.054,0.132,14.1,1
181,0,5.0,11.0,0.455,3.0,-16,8.0,0.375,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,13.0,9.9,5.0,0,1.07,1.114,0.139,12.9,1
182,1,5.0,15.0,0.333,2.0,6,10.0,0.2,5.0,5.0,1.0,2.0,9.0,11.0,0.0,5.0,3.0,1.0,2.0,17.0,17.9,12.0,0,1.103,1.162,0.15,13.5,1
183,0,2.0,7.0,0.286,0.0,-2,2.0,0.0,0.0,0.0,,1.0,5.0,6.0,0.0,2.0,2.0,3.0,4.0,4.0,0.9,-2.0,0,1.066,1.133,0.14,12.1,0
184,1,2.0,8.0,0.25,2.0,6,7.0,0.286,4.0,4.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,10.0,4.3,5.0,0,1.092,1.139,0.138,10.7,0
185,1,3.0,6.0,0.5,2.0,15,4.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,10.0,7.3,0.0,0,1.103,1.142,0.126,13.1,0
186,0,6.0,9.0,0.667,4.0,-21,6.0,0.667,4.0,5.0,0.8,0.0,6.0,6.0,1.0,1.0,0.0,0.0,3.0,20.0,18.0,-10.0,0,1.118,1.181,0.152,12.4,1
187,0,7.0,13.0,0.538,2.0,-20,7.0,0.286,1.0,1.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,1.0,3.0,17.0,13.4,11.0,0,1.063,1.119,0.152,12.2,1
188,1,5.0,10.0,0.5,2.0,10,5.0,0.4,3.0,3.0,1.0,0.0,8.0,8.0,1.0,2.0,1.0,4.0,4.0,15.0,10.2,1.0,0,1.073,1.102,0.121,11.3,1
189,0,4.0,5.0,0.8,1.0,-8,2.0,0.5,2.0,5.0,0.4,0.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,11.0,12.9,-3.0,0,1.073,1.102,0.121,11.3,0
190,0,,,,,-2,,,,,,,,,,,,,,,,,0,1.081,1.145,0.149,11.6,0
191,1,1.0,8.0,0.125,1.0,12,5.0,0.2,2.0,2.0,1.0,2.0,3.0,5.0,4.0,2.0,0.0,3.0,4.0,5.0,2.3,5.0,0,1.111,1.154,0.139,11.9,0
192,1,2.0,7.0,0.286,1.0,12,4.0,0.25,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,7.0,5.8,10.0,0,1.103,1.142,0.126,13.1,0
193,0,4.0,9.0,0.444,3.0,-8,6.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,13.0,8.0,0.0,0,1.07,1.114,0.139,12.9,1
194,0,8.0,13.0,0.615,6.0,-7,10.0,0.6,0.0,0.0,,1.0,5.0,6.0,1.0,1.0,0.0,0.0,5.0,22.0,18.0,8.0,0,1.091,1.113,0.115,12.4,1
195,0,6.0,11.0,0.545,1.0,-12,5.0,0.2,2.0,2.0,1.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,5.0,15.0,10.0,-2.0,0,1.056,1.098,0.137,11.9,1
196,0,4.0,8.0,0.5,3.0,-17,4.0,0.75,5.0,5.0,1.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,3.0,16.0,13.4,-15.0,0,1.036,1.106,0.151,11.7,1
197,0,1.0,5.0,0.2,0.0,-16,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,-0.3,-14.0,0,1.081,1.145,0.149,11.6,0
198,0,5.0,13.0,0.385,3.0,-11,10.0,0.3,1.0,2.0,0.5,1.0,6.0,7.0,2.0,2.0,0.0,2.0,5.0,14.0,8.4,-16.0,0,1.073,1.102,0.121,11.3,1
199,0,4.0,11.0,0.364,2.0,-7,8.0,0.25,0.0,0.0,,0.0,5.0,5.0,0.0,3.0,1.0,2.0,4.0,10.0,5.5,-8.0,0,1.048,1.088,0.134,12.3,0
200,0,5.0,17.0,0.294,3.0,-8,11.0,0.273,2.0,3.0,0.667,2.0,5.0,7.0,2.0,3.0,1.0,1.0,2.0,15.0,10.9,5.0,0,1.084,1.131,0.134,12.2,1
201,0,5.0,9.0,0.556,0.0,-9,4.0,0.0,0.0,0.0,,0.0,6.0,6.0,1.0,2.0,0.0,1.0,4.0,10.0,7.6,-1.0,0,1.066,1.133,0.14,12.1,0
202,0,1.0,6.0,0.167,1.0,-7,5.0,0.2,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,1.0,3.0,2.0,3.0,-1.4,1.0,0,1.112,1.126,0.125,13.5,0
203,0,1.0,3.0,0.333,0.0,-9,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,2.0,4.0,3.1,-14.0,0,1.103,1.162,0.15,13.5,0
204,1,8.0,19.0,0.421,2.0,1,8.0,0.25,1.0,2.0,0.5,0.0,8.0,8.0,1.0,0.0,2.0,1.0,4.0,19.0,10.4,12.0,0,1.088,1.155,0.148,12.4,1
205,0,5.0,13.0,0.385,3.0,-6,9.0,0.333,1.0,2.0,0.5,2.0,5.0,7.0,3.0,4.0,1.0,2.0,5.0,14.0,12.2,-4.0,0,1.121,1.165,0.127,12.4,1
206,1,4.0,8.0,0.5,3.0,7,6.0,0.5,3.0,5.0,0.6,1.0,6.0,7.0,0.0,1.0,2.0,2.0,5.0,14.0,10.1,12.0,0,1.085,1.092,0.12,12.5,1
207,0,2.0,4.0,0.5,1.0,-2,2.0,0.5,2.0,2.0,1.0,0.0,11.0,11.0,3.0,3.0,1.0,1.0,3.0,7.0,11.9,1.0,0,1.007,1.054,0.132,14.1,0
208,1,8.0,15.0,0.533,4.0,15,11.0,0.364,0.0,0.0,,2.0,8.0,10.0,2.0,2.0,2.0,0.0,0.0,20.0,21.3,16.0,0,1.103,1.162,0.15,13.5,1
209,1,5.0,13.0,0.385,4.0,15,10.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,2.0,4.0,0.0,1.0,2.0,15.0,12.3,29.0,0,1.121,1.165,0.127,12.4,1
210,0,6.0,10.0,0.6,4.0,-7,7.0,0.571,1.0,1.0,1.0,1.0,5.0,6.0,2.0,1.0,0.0,3.0,2.0,17.0,13.2,-13.0,0,1.07,1.114,0.139,12.9,1
211,1,6.0,12.0,0.5,2.0,14,6.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,15.0,12.4,20.0,0,1.112,1.126,0.125,13.5,1
212,0,4.0,10.0,0.4,1.0,-30,4.0,0.25,2.0,5.0,0.4,2.0,5.0,7.0,2.0,6.0,2.0,0.0,1.0,11.0,15.7,-23.0,0,1.063,1.119,0.152,12.2,0
213,0,6.0,13.0,0.462,4.0,-13,9.0,0.444,2.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,18.0,14.8,-17.0,0,1.056,1.098,0.137,11.9,1
214,0,5.0,12.0,0.417,4.0,-5,8.0,0.5,0.0,1.0,0.0,0.0,7.0,7.0,0.0,2.0,1.0,3.0,2.0,14.0,8.2,-6.0,0,1.052,1.093,0.143,11.5,1
215,0,3.0,11.0,0.273,3.0,-2,8.0,0.375,0.0,0.0,,0.0,10.0,10.0,2.0,1.0,0.0,1.0,4.0,9.0,5.3,9.0,0,1.052,1.093,0.143,11.5,0
216,0,8.0,20.0,0.4,4.0,-10,13.0,0.308,2.0,2.0,1.0,1.0,7.0,8.0,1.0,2.0,0.0,1.0,3.0,22.0,14.5,-5.0,0,1.016,1.074,0.159,13.2,1
217,0,4.0,10.0,0.4,1.0,-7,7.0,0.143,0.0,0.0,,2.0,4.0,6.0,1.0,1.0,0.0,0.0,2.0,9.0,7.1,-6.0,0,1.066,1.133,0.14,12.1,0
218,0,4.0,9.0,0.444,1.0,-7,5.0,0.2,0.0,0.0,,1.0,6.0,7.0,1.0,0.0,1.0,3.0,3.0,9.0,4.0,3.0,0,1.065,1.159,0.177,11.2,0
219,0,4.0,13.0,0.308,2.0,-7,8.0,0.25,0.0,0.0,,1.0,6.0,7.0,1.0,0.0,2.0,0.0,4.0,10.0,5.5,-8.0,0,1.063,1.119,0.152,12.2,0
220,0,4.0,9.0,0.444,1.0,-9,6.0,0.167,1.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,2.0,5.0,10.0,6.9,-1.0,0,1.056,1.098,0.137,11.9,0
221,0,8.0,12.0,0.667,6.0,-4,10.0,0.6,2.0,3.0,0.667,0.0,7.0,7.0,0.0,0.0,0.0,4.0,6.0,24.0,14.1,16.0,0,1.088,1.155,0.148,12.4,1
222,0,3.0,7.0,0.429,1.0,-12,4.0,0.25,5.0,6.0,0.833,0.0,5.0,5.0,0.0,3.0,2.0,2.0,4.0,12.0,10.2,-10.0,0,1.048,1.088,0.134,12.3,1
223,0,6.0,15.0,0.4,3.0,-4,9.0,0.333,0.0,0.0,,3.0,5.0,8.0,2.0,3.0,1.0,1.0,3.0,15.0,13.4,-20.0,0,1.088,1.155,0.148,12.4,1
224,0,,,,,-7,,,,,,,,,,,,,,,,,0,1.111,1.154,0.139,11.9,0
225,1,5.0,9.0,0.556,4.0,10,7.0,0.571,0.0,0.0,,2.0,6.0,8.0,4.0,2.0,2.0,3.0,4.0,14.0,14.5,16.0,0,1.036,1.106,0.151,11.7,1
226,0,4.0,10.0,0.4,1.0,-36,7.0,0.143,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,9.0,4.7,-8.0,0,1.081,1.145,0.149,11.6,0
227,0,5.0,12.0,0.417,4.0,-1,10.0,0.4,0.0,0.0,,2.0,3.0,5.0,0.0,2.0,1.0,1.0,4.0,14.0,10.0,4.0,0,1.073,1.102,0.121,11.3,1
228,1,3.0,11.0,0.273,2.0,11,8.0,0.25,4.0,5.0,0.8,0.0,7.0,7.0,3.0,3.0,4.0,2.0,5.0,12.0,11.1,15.0,0,1.034,1.084,0.143,11.7,1
229,1,7.0,13.0,0.538,5.0,30,10.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,4.0,0.0,1.0,20.0,18.7,31.0,0,1.103,1.162,0.15,13.5,1
230,1,3.0,14.0,0.214,2.0,10,12.0,0.167,0.0,0.0,,1.0,11.0,12.0,2.0,0.0,3.0,0.0,4.0,8.0,5.3,3.0,0,1.073,1.102,0.121,11.3,0
